model,split,PICP,MPWI,NMPIL,RMSE,isintense
nwp,0,0.7588568925857544,0.03605281189084053,0.03605281189084053,0.03152117505669594,1
nwp,0,0.8078505396842957,0.014831156469881535,0.05680682137608528,0.011555887758731842,0
sde_unet,0,0.6013249754905701,0.0034459189046174288,0.0034459189046174288,0.02657206915318966,1
sde_unet,0,0.6536312103271484,0.0029381357599049807,0.011253751814365387,0.008060047402977943,0
ensemble_unet,0,0.6056765913963318,0.0066970521584153175,0.0066970521584153175,0.028191350400447845,1
ensemble_unet,0,0.6050125360488892,0.0018005477031692863,0.006896521430462599,0.008156545460224152,0
mcd_unet,0,0.626211941242218,0.008298598229885101,0.008298598229885101,0.028227277100086212,1
mcd_unet,0,0.768021821975708,0.007563505321741104,0.028970004990696907,0.008582165464758873,0
linear_regression,0,0.5729981064796448,0.0,0.0,0.03187471255660057,1
linear_regression,0,0.572998046875,0.0,0.0,0.011518694460391998,0
sde_unet,1,0.6024370193481445,0.003520896192640066,0.003520896192640066,0.026199158281087875,1
sde_unet,1,0.6933979988098145,0.003081968054175377,0.010834740474820137,0.007396407891064882,0
ensemble_unet,1,0.6143583059310913,0.00671541690826416,0.00671541690826416,0.026921246200799942,1
ensemble_unet,1,0.7022641897201538,0.0028865451458841562,0.01014772616326809,0.0072009144350886345,0
mcd_unet,1,0.6255545020103455,0.007225359790027142,0.007225359790027142,0.029522253200411797,1
mcd_unet,1,0.8068186640739441,0.007721995003521442,0.027146877720952034,0.00811409205198288,0
linear_regression,1,0.5729981660842896,0.0,0.0,0.032066818326711655,1
linear_regression,1,0.572998046875,0.0,0.0,0.01095978170633316,0
sde_unet,2,0.6032243967056274,0.0036626439541578293,0.0036626439541578293,0.026236141100525856,1
sde_unet,2,0.6766754388809204,0.0030185068026185036,0.01704332046210766,0.006697808858007193,0
ensemble_unet,2,0.6123484373092651,0.00757995480671525,0.00757995480671525,0.027841411530971527,1
ensemble_unet,2,0.6445725560188293,0.0022146773990243673,0.012504679150879383,0.006516117136925459,0
mcd_unet,2,0.6258668899536133,0.008416134864091873,0.008416134864091873,0.028505509719252586,1
mcd_unet,2,0.7779339551925659,0.007532842457294464,0.042532503604888916,0.007267707027494907,0
linear_regression,2,0.572998046875,0.0,0.0,0.030149446800351143,1
linear_regression,2,0.572998046875,0.0,0.0,0.011346439830958843,0
