model,split,RMSE,repetition,date,isintense
nwp,0,6.439994812011719,3,20210101,0
nwp,0,7.259204864501953,3,20190822,0
nwp,0,13.437278747558594,3,20230828,1
nwp,0,25.62290382385254,3,20181029,1
nwp,0,3.1340994834899902,3,20180613,0
nwp,0,7.3868632316589355,3,20191220,1
nwp,0,17.465896606445312,3,20191124,0
nwp,0,2.6269681453704834,3,20220518,0
nwp,0,8.3844633102417,3,20200828,1
nwp,0,1.7035819292068481,3,20221001,0
nwp,0,6.012545585632324,3,20190714,0
nwp,0,7.361836910247803,3,20200813,0
nwp,0,3.2935032844543457,3,20210730,0
nwp,0,12.521069526672363,3,20210713,1
nwp,0,3.830535411834717,3,20210920,0
nwp,0,3.283503293991089,3,20190527,0
nwp,0,12.470365524291992,3,20230520,1
nwp,0,29.17691993713379,3,20240303,1
nwp,0,7.914604187011719,3,20190423,1
nwp,0,20.70762062072754,3,20191015,1
nwp,0,4.420266628265381,3,20191125,0
nwp,0,8.190572738647461,3,20191019,0
nwp,0,7.512538909912109,3,20180530,0
nwp,0,8.819244384765625,3,20200604,1
nwp,0,7.7691521644592285,3,20200510,0
nwp,0,10.039352416992188,3,20240330,1
nwp,0,6.3444671630859375,3,20180720,0
nwp,0,4.086864471435547,3,20221223,1
nwp,0,41.138092041015625,3,20211004,1
nwp,0,14.22376537322998,3,20230827,1
nwp,0,1.7336413860321045,3,20200419,0
nwp,0,10.828849792480469,3,20200511,1
nwp,0,2.173330545425415,3,20210412,0
nwp,0,3.6249210834503174,3,20211116,0
nwp,0,2.773742914199829,3,20210823,0
nwp,0,13.041698455810547,3,20210511,1
nwp,0,3.1866931915283203,3,20200227,0
nwp,0,10.335121154785156,3,20190610,1
nwp,0,2.4845731258392334,3,20210605,0
nwp,0,15.440535545349121,3,20240227,1
nwp,0,3.2792768478393555,3,20210622,0
nwp,0,29.223779678344727,3,20191123,1
nwp,0,15.588479042053223,3,20190715,1
nwp,0,11.837953567504883,3,20190404,1
nwp,0,8.486191749572754,3,20220506,0
nwp,0,6.836324691772461,3,20190622,0
nwp,0,5.673495292663574,3,20240210,1
nwp,0,1.955519437789917,3,20200730,0
nwp,0,3.5852768421173096,3,20210206,0
nwp,0,10.449955940246582,3,20190807,1
nwp,0,2.4796433448791504,3,20190910,0
nwp,0,1.9022849798202515,3,20211031,0
nwp,0,8.068244934082031,3,20190426,1
nwp,0,5.773028373718262,3,20231201,1
nwp,0,13.29722785949707,3,20181106,1
nwp,0,8.81522274017334,3,20220423,1
nwp,0,12.812312126159668,3,20200829,1
nwp,0,4.6682634353637695,3,20180913,0
nwp,0,7.0756611824035645,3,20190812,0
nwp,0,4.75889778137207,3,20190201,1
nwp,0,5.395026206970215,3,20220523,0
nwp,0,7.443012237548828,3,20200516,0
nwp,0,3.956510066986084,3,20210207,0
nwp,0,4.330496788024902,3,20210629,0
nwp,0,7.090249538421631,3,20240209,1
nwp,0,9.311731338500977,3,20240331,1
nwp,0,2.766422748565674,3,20180711,0
nwp,0,6.909428596496582,3,20200830,1
nwp,0,5.488909721374512,3,20210724,0
nwp,0,7.931516647338867,3,20231020,1
nwp,0,3.5791518688201904,3,20181030,0
nwp,0,46.7531852722168,3,20201002,1
nwp,0,6.344293117523193,3,20190703,0
nwp,0,6.451874256134033,3,20231211,1
nwp,0,3.0025947093963623,3,20200702,0
nwp,0,8.883545875549316,3,20181105,0
nwp,0,2.158947467803955,3,20210831,0
nwp,0,8.634812355041504,3,20200420,1
nwp,0,2.986447811126709,3,20190405,0
nwp,0,3.92048978805542,3,20200427,0
nwp,0,12.886651992797852,3,20201026,0
nwp,0,12.972973823547363,3,20230430,1
nwp,0,7.169301986694336,3,20201204,1
nwp,0,2.4140584468841553,3,20200202,1
nwp,0,30.484737396240234,3,20191021,1
sde_unet_small,0,4.439929962158203,0,20210101,0
sde_unet_small,0,6.749172210693359,0,20190822,0
sde_unet_small,0,12.233675956726074,0,20230828,1
sde_unet_small,0,14.05005931854248,0,20181029,1
sde_unet_small,0,2.7073581218719482,0,20180613,0
sde_unet_small,0,7.173645973205566,0,20191220,1
sde_unet_small,0,6.89669942855835,0,20191124,0
sde_unet_small,0,2.441425323486328,0,20220518,0
sde_unet_small,0,8.016335487365723,0,20200828,1
sde_unet_small,0,2.1854076385498047,0,20221001,0
sde_unet_small,0,3.7330899238586426,0,20190714,0
sde_unet_small,0,2.4246363639831543,0,20200813,0
sde_unet_small,0,2.889613389968872,0,20210730,0
sde_unet_small,0,9.408594131469727,0,20210713,1
sde_unet_small,0,2.165916681289673,0,20210920,0
sde_unet_small,0,2.637935161590576,0,20190527,0
sde_unet_small,0,10.078468322753906,0,20230520,1
sde_unet_small,0,15.910984992980957,0,20240303,1
sde_unet_small,0,5.974258899688721,0,20190423,1
sde_unet_small,0,17.534814834594727,0,20191015,1
sde_unet_small,0,3.9355390071868896,0,20191125,0
sde_unet_small,0,4.622107982635498,0,20191019,0
sde_unet_small,0,6.127257347106934,0,20180530,0
sde_unet_small,0,5.813446998596191,0,20200604,1
sde_unet_small,0,3.512603282928467,0,20200510,0
sde_unet_small,0,8.088610649108887,0,20240330,1
sde_unet_small,0,4.457492828369141,0,20180720,0
sde_unet_small,0,2.7915542125701904,0,20221223,1
sde_unet_small,0,28.846569061279297,0,20211004,1
sde_unet_small,0,9.01256275177002,0,20230827,1
sde_unet_small,0,1.6325747966766357,0,20200419,0
sde_unet_small,0,8.98189640045166,0,20200511,1
sde_unet_small,0,1.567772626876831,0,20210412,0
sde_unet_small,0,2.702005386352539,0,20211116,0
sde_unet_small,0,2.3120477199554443,0,20210823,0
sde_unet_small,0,8.76802921295166,0,20210511,1
sde_unet_small,0,2.103574275970459,0,20200227,0
sde_unet_small,0,9.1027193069458,0,20190610,1
sde_unet_small,0,2.0820164680480957,0,20210605,0
sde_unet_small,0,8.031570434570312,0,20240227,1
sde_unet_small,0,2.6650092601776123,0,20210622,0
sde_unet_small,0,15.343655586242676,0,20191123,1
sde_unet_small,0,9.388043403625488,0,20190715,1
sde_unet_small,0,6.233431339263916,0,20190404,1
sde_unet_small,0,3.1753182411193848,0,20220506,0
sde_unet_small,0,3.955174446105957,0,20190622,0
sde_unet_small,0,5.136873722076416,0,20240210,1
sde_unet_small,0,1.902282953262329,0,20200730,0
sde_unet_small,0,2.2505857944488525,0,20210206,0
sde_unet_small,0,7.931094169616699,0,20190807,1
sde_unet_small,0,3.452770709991455,0,20190910,0
sde_unet_small,0,1.767025351524353,0,20211031,0
sde_unet_small,0,7.091120719909668,0,20190426,1
sde_unet_small,0,5.3904337882995605,0,20231201,1
sde_unet_small,0,12.73870849609375,0,20181106,1
sde_unet_small,0,6.20792293548584,0,20220423,1
sde_unet_small,0,12.865227699279785,0,20200829,1
sde_unet_small,0,3.887174606323242,0,20180913,0
sde_unet_small,0,5.4224653244018555,0,20190812,0
sde_unet_small,0,4.258044719696045,0,20190201,1
sde_unet_small,0,3.125241279602051,0,20220523,0
sde_unet_small,0,6.0655317306518555,0,20200516,0
sde_unet_small,0,3.995271921157837,0,20210207,0
sde_unet_small,0,3.500126838684082,0,20210629,0
sde_unet_small,0,5.049670696258545,0,20240209,1
sde_unet_small,0,5.172157287597656,0,20240331,1
sde_unet_small,0,2.7056612968444824,0,20180711,0
sde_unet_small,0,7.7887749671936035,0,20200830,1
sde_unet_small,0,4.375600814819336,0,20210724,0
sde_unet_small,0,10.46574878692627,0,20231020,1
sde_unet_small,0,3.5685579776763916,0,20181030,0
sde_unet_small,0,44.14130401611328,0,20201002,1
sde_unet_small,0,3.8281054496765137,0,20190703,0
sde_unet_small,0,3.5263683795928955,0,20231211,1
sde_unet_small,0,1.8704607486724854,0,20200702,0
sde_unet_small,0,6.585234642028809,0,20181105,0
sde_unet_small,0,2.5105369091033936,0,20210831,0
sde_unet_small,0,5.361007213592529,0,20200420,1
sde_unet_small,0,2.7217812538146973,0,20190405,0
sde_unet_small,0,2.6869349479675293,0,20200427,0
sde_unet_small,0,9.432894706726074,0,20201026,0
sde_unet_small,0,6.7347002029418945,0,20230430,1
sde_unet_small,0,5.590378761291504,0,20201204,1
sde_unet_small,0,2.5930898189544678,0,20200202,1
sde_unet_small,0,28.66892433166504,0,20191021,1
sde_unet_small,0,4.345367431640625,1,20210101,0
sde_unet_small,0,6.642739295959473,1,20190822,0
sde_unet_small,0,12.319230079650879,1,20230828,1
sde_unet_small,0,13.910052299499512,1,20181029,1
sde_unet_small,0,2.763927936553955,1,20180613,0
sde_unet_small,0,7.037902355194092,1,20191220,1
sde_unet_small,0,6.875973701477051,1,20191124,0
sde_unet_small,0,2.310370922088623,1,20220518,0
sde_unet_small,0,7.957905292510986,1,20200828,1
sde_unet_small,0,2.2181615829467773,1,20221001,0
sde_unet_small,0,3.7065792083740234,1,20190714,0
sde_unet_small,0,2.5362319946289062,1,20200813,0
sde_unet_small,0,2.96091628074646,1,20210730,0
sde_unet_small,0,9.40743350982666,1,20210713,1
sde_unet_small,0,2.1888673305511475,1,20210920,0
sde_unet_small,0,2.603788375854492,1,20190527,0
sde_unet_small,0,9.988139152526855,1,20230520,1
sde_unet_small,0,15.9803466796875,1,20240303,1
sde_unet_small,0,5.930891513824463,1,20190423,1
sde_unet_small,0,17.46817398071289,1,20191015,1
sde_unet_small,0,3.8399155139923096,1,20191125,0
