"epoch","BCE 100 - _step","BCE 100 - _step__MIN","BCE 100 - _step__MAX","val/loss","BCE 100 - val/loss__MIN","BCE 100 - val/loss__MAX"
"0","10","10","10","0.6683444976806641","0.6683444976806641","0.6683444976806641"
"1","21","21","21","0.6594372391700745","0.6594372391700745","0.6594372391700745"
"2","32","32","32","0.5716016888618469","0.5716016888618469","0.5716016888618469"
"3","43","43","43","0.5413656234741211","0.5413656234741211","0.5413656234741211"
"4","54","54","54","0.43352416157722473","0.43352416157722473","0.43352416157722473"
"5","65","65","65","0.40512755513191223","0.40512755513191223","0.40512755513191223"
"6","76","76","76","0.3396718502044678","0.3396718502044678","0.3396718502044678"
"7","87","87","87","0.31266987323760986","0.31266987323760986","0.31266987323760986"
"8","98","98","98","0.3093053698539734","0.3093053698539734","0.3093053698539734"
"9","109","109","109","0.2565166652202606","0.2565166652202606","0.2565166652202606"
"10","120","120","120","0.2849697768688202","0.2849697768688202","0.2849697768688202"
"11","131","131","131","0.23762749135494232","0.23762749135494232","0.23762749135494232"
"12","142","142","142","0.24438372254371643","0.24438372254371643","0.24438372254371643"
"13","153","153","153","0.22913838922977448","0.22913838922977448","0.22913838922977448"
"14","164","164","164","0.308475524187088","0.308475524187088","0.308475524187088"
"15","175","175","175","0.2868209779262543","0.2868209779262543","0.2868209779262543"
"16","186","186","186","0.21304360032081604","0.21304360032081604","0.21304360032081604"
"17","197","197","197","0.17646437883377075","0.17646437883377075","0.17646437883377075"
"18","208","208","208","0.19387994706630707","0.19387994706630707","0.19387994706630707"
"19","219","219","219","0.21832552552223206","0.21832552552223206","0.21832552552223206"
"20","230","230","230","0.15365952253341675","0.15365952253341675","0.15365952253341675"
"21","241","241","241","0.2910611927509308","0.2910611927509308","0.2910611927509308"
"22","252","252","252","0.17757296562194824","0.17757296562194824","0.17757296562194824"
"23","263","263","263","0.16574996709823608","0.16574996709823608","0.16574996709823608"
"24","274","274","274","0.13164404034614563","0.13164404034614563","0.13164404034614563"
"25","285","285","285","0.14584845304489136","0.14584845304489136","0.14584845304489136"
"26","296","296","296","0.12420812994241714","0.12420812994241714","0.12420812994241714"
"27","307","307","307","0.15768581628799438","0.15768581628799438","0.15768581628799438"
"28","318","318","318","0.17310293018817902","0.17310293018817902","0.17310293018817902"
"29","329","329","329","0.1224936693906784","0.1224936693906784","0.1224936693906784"
"30","340","340","340","0.1561615914106369","0.1561615914106369","0.1561615914106369"
"31","351","351","351","0.20464394986629486","0.20464394986629486","0.20464394986629486"
"32","362","362","362","0.12953710556030273","0.12953710556030273","0.12953710556030273"
"33","373","373","373","0.19536060094833374","0.19536060094833374","0.19536060094833374"
"34","384","384","384","0.12994715571403503","0.12994715571403503","0.12994715571403503"
"35","395","395","395","0.1892649531364441","0.1892649531364441","0.1892649531364441"
"36","406","406","406","0.13969433307647705","0.13969433307647705","0.13969433307647705"
"37","417","417","417","0.16103380918502808","0.16103380918502808","0.16103380918502808"
"38","428","428","428","0.12434177100658417","0.12434177100658417","0.12434177100658417"
"39","439","439","439","0.14533643424510956","0.14533643424510956","0.14533643424510956"
"40","450","450","450","0.11484595388174057","0.11484595388174057","0.11484595388174057"
"41","461","461","461","0.16678938269615173","0.16678938269615173","0.16678938269615173"
"42","472","472","472","0.11808176338672638","0.11808176338672638","0.11808176338672638"
"43","483","483","483","0.155476912856102","0.155476912856102","0.155476912856102"
"44","494","494","494","0.12019943445920944","0.12019943445920944","0.12019943445920944"
"45","505","505","505","0.16756317019462585","0.16756317019462585","0.16756317019462585"
"46","516","516","516","0.15390938520431519","0.15390938520431519","0.15390938520431519"
"47","527","527","527","0.13899262249469757","0.13899262249469757","0.13899262249469757"
"48","538","538","538","0.18768063187599182","0.18768063187599182","0.18768063187599182"
"49","549","549","549","0.166113018989563","0.166113018989563","0.166113018989563"
"50","560","560","560","0.13235382735729218","0.13235382735729218","0.13235382735729218"
"51","571","571","571","0.1373175084590912","0.1373175084590912","0.1373175084590912"
"52","582","582","582","0.13730186223983765","0.13730186223983765","0.13730186223983765"
"53","593","593","593","0.14321312308311462","0.14321312308311462","0.14321312308311462"
"54","604","604","604","0.13621798157691956","0.13621798157691956","0.13621798157691956"
"55","615","615","615","0.15472400188446045","0.15472400188446045","0.15472400188446045"
"56","626","626","626","0.1174827590584755","0.1174827590584755","0.1174827590584755"
"57","637","637","637","0.15389278531074524","0.15389278531074524","0.15389278531074524"
"58","648","648","648","0.15264464914798737","0.15264464914798737","0.15264464914798737"
"59","659","659","659","0.13912749290466309","0.13912749290466309","0.13912749290466309"
"60","670","670","670","0.14834807813167572","0.14834807813167572","0.14834807813167572"
"61","681","681","681","0.15132413804531097","0.15132413804531097","0.15132413804531097"
"62","692","692","692","0.1412275731563568","0.1412275731563568","0.1412275731563568"
"63","703","703","703","0.14832231402397156","0.14832231402397156","0.14832231402397156"
"64","714","714","714","0.13872654736042023","0.13872654736042023","0.13872654736042023"
"65","725","725","725","0.12605509161949158","0.12605509161949158","0.12605509161949158"
"66","736","736","736","0.1488564908504486","0.1488564908504486","0.1488564908504486"
"67","747","747","747","0.14218886196613312","0.14218886196613312","0.14218886196613312"
"68","758","758","758","0.1314753293991089","0.1314753293991089","0.1314753293991089"
"69","769","769","769","0.15118350088596344","0.15118350088596344","0.15118350088596344"
"70","780","780","780","0.15291686356067657","0.15291686356067657","0.15291686356067657"
"71","791","791","791","0.14843924343585968","0.14843924343585968","0.14843924343585968"
"72","802","802","802","0.14960676431655884","0.14960676431655884","0.14960676431655884"
"73","813","813","813","0.15587301552295685","0.15587301552295685","0.15587301552295685"
"74","824","824","824","0.15486453473567963","0.15486453473567963","0.15486453473567963"
"75","835","835","835","0.14805516600608826","0.14805516600608826","0.14805516600608826"
"76","846","846","846","0.14632631838321686","0.14632631838321686","0.14632631838321686"
"77","857","857","857","0.14709682762622833","0.14709682762622833","0.14709682762622833"
"78","868","868","868","0.14603231847286224","0.14603231847286224","0.14603231847286224"
"79","879","879","879","0.14217519760131836","0.14217519760131836","0.14217519760131836"
"80","890","890","890","0.14978693425655365","0.14978693425655365","0.14978693425655365"
"81","901","901","901","0.14879797399044037","0.14879797399044037","0.14879797399044037"
"82","912","912","912","0.14796721935272217","0.14796721935272217","0.14796721935272217"
"83","923","923","923","0.13978001475334167","0.13978001475334167","0.13978001475334167"
"84","934","934","934","0.13837049901485443","0.13837049901485443","0.13837049901485443"
"85","945","945","945","0.15312521159648895","0.15312521159648895","0.15312521159648895"
"86","956","956","956","0.14815303683280945","0.14815303683280945","0.14815303683280945"
"87","967","967","967","0.15034060180187225","0.15034060180187225","0.15034060180187225"
"88","978","978","978","0.1419004201889038","0.1419004201889038","0.1419004201889038"
"89","989","989","989","0.14056456089019775","0.14056456089019775","0.14056456089019775"
"90","1000","1000","1000","0.1503239870071411","0.1503239870071411","0.1503239870071411"
"91","1011","1011","1011","0.14698028564453125","0.14698028564453125","0.14698028564453125"
"92","1022","1022","1022","0.15551503002643585","0.15551503002643585","0.15551503002643585"
"93","1033","1033","1033","0.15605206787586212","0.15605206787586212","0.15605206787586212"
"94","1044","1044","1044","0.1507747322320938","0.1507747322320938","0.1507747322320938"
"95","1055","1055","1055","0.15314868092536926","0.15314868092536926","0.15314868092536926"
"96","1066","1066","1066","0.15029920637607574","0.15029920637607574","0.15029920637607574"
"97","1077","1077","1077","0.14995618164539337","0.14995618164539337","0.14995618164539337"
"98","1088","1088","1088","0.14922557771205902","0.14922557771205902","0.14922557771205902"
"99","1099","1099","1099","0.1541719287633896","0.1541719287633896","0.1541719287633896"
