"epoch","BCE 100 - _step","BCE 100 - _step__MIN","BCE 100 - _step__MAX","train/loss","BCE 100 - train/loss__MIN","BCE 100 - train/loss__MAX"
"0","4.5","0","9","0.6804326593875885","0.6764102578163147","0.6833692193031311"
"1","15.5","11","20","0.6726844072341919","0.6676536202430725","0.6761118769645691"
"2","26.5","22","31","0.6035245686769486","0.48266324400901794","0.6635157465934753"
"3","37.5","33","42","0.47829909026622774","0.4094628095626831","0.5180092453956604"
"4","48.5","44","53","0.41052972078323363","0.3748360276222229","0.4832121729850769"
"5","59.5","55","64","0.3635274678468704","0.33323293924331665","0.3750494420528412"
"6","70.5","66","75","0.340345573425293","0.30056917667388916","0.38279783725738525"
"7","81.5","77","86","0.32870039641857146","0.28830981254577637","0.38766998052597046"
"8","92.5","88","97","0.31569057404994966","0.29109635949134827","0.3461739122867584"
"9","103.5","99","108","0.30439458787441254","0.2659088671207428","0.33111342787742615"
"10","114.5","110","119","0.3001572787761688","0.28357839584350586","0.31713390350341797"
"11","125.5","121","130","0.29467537701129914","0.28043732047080994","0.31997328996658325"
"12","136.5","132","141","0.2934092044830322","0.2672915756702423","0.31336721777915955"
"13","147.5","143","152","0.2913661688566208","0.27111560106277466","0.31856346130371094"
"14","158.5","154","163","0.2906623691320419","0.25784340500831604","0.3483787178993225"
"15","169.5","165","174","0.28712705671787264","0.26917707920074463","0.3180525600910187"
"16","180.5","176","185","0.28196952641010287","0.25981444120407104","0.30974581837654114"
"17","191.5","187","196","0.276153227686882","0.2545679211616516","0.30934321880340576"
"18","202.5","198","207","0.27235986292362213","0.25681161880493164","0.28950047492980957"
"19","213.5","209","218","0.25886214822530745","0.24846792221069336","0.2687027156352997"
"20","224.5","220","229","0.24898141473531724","0.2338564693927765","0.2666306793689728"
"21","235.5","231","240","0.2333431825041771","0.22184881567955017","0.24729353189468384"
"22","246.5","242","251","0.22703797072172166","0.2125590294599533","0.2535207271575928"
"23","257.5","253","262","0.21194345653057098","0.19945552945137024","0.22970083355903625"
"24","268.5","264","273","0.2069962739944458","0.19248174130916595","0.22908581793308258"
"25","279.5","275","284","0.20121739357709884","0.18005624413490295","0.2150479555130005"
"26","290.5","286","295","0.20371459275484086","0.1856880635023117","0.22205516695976257"
"27","301.5","297","306","0.19765320867300035","0.18081827461719513","0.22208164632320404"
"28","312.5","308","317","0.19656317085027694","0.18449437618255615","0.20662902295589447"
"29","323.5","319","328","0.19662523716688157","0.17079730331897736","0.22398816049098969"
"30","334.5","330","339","0.2055561810731888","0.18408147990703583","0.23191781342029572"
"31","345.5","341","350","0.19985215961933137","0.18168628215789795","0.2154521346092224"
"32","356.5","352","361","0.20335728526115418","0.17828483879566193","0.23137374222278595"
"33","367.5","363","372","0.19793636053800584","0.18620440363883972","0.21140114963054657"
"34","378.5","374","383","0.1949460595846176","0.1769433170557022","0.207544207572937"
"35","389.5","385","394","0.19326363056898116","0.1696702241897583","0.20844265818595886"
"36","400.5","396","405","0.19253088384866715","0.18016451597213745","0.21241262555122375"
"37","411.5","407","416","0.19568775594234467","0.1766914278268814","0.21407806873321533"
"38","422.5","418","427","0.18956016302108764","0.1642981320619583","0.20540106296539307"
"39","433.5","429","438","0.1882937267422676","0.17027486860752106","0.20135106146335602"
"40","444.5","440","449","0.18908622562885286","0.16721685230731964","0.2025252729654312"
"41","455.5","451","460","0.19254240691661834","0.17871494591236115","0.21050730347633362"
"42","466.5","462","471","0.18839357495307923","0.17683185636997223","0.20511525869369507"
"43","477.5","473","482","0.18857649564743043","0.17610913515090942","0.20149971544742584"
"44","488.5","484","493","0.19220061004161834","0.16807210445404053","0.22927990555763245"
"45","499.5","495","504","0.1926833525300026","0.17462246119976044","0.22507020831108093"
"46","510.5","506","515","0.1890713557600975","0.17298921942710876","0.21492759883403778"
"47","521.5","517","526","0.1839023560285568","0.1750728040933609","0.18954160809516907"
"48","532.5","528","537","0.1828997939825058","0.16493725776672363","0.19283148646354675"
"49","543.5","539","548","0.18988462835550307","0.17641280591487885","0.20179256796836853"
