"Name","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","case_study","dataset_size","epochs","epochs_fn","fine_tune","finetune_type","indx_thresh","input_path","lr","method","metric.goal","metric.name","n_bin","n_split","n_thresh","network_model","parameters.dataset_sizes","parameters.epochss","parameters.epochs_fns","parameters.fine_tunes","parameters.n_bins","parameters.n_splits","parameters.n_threshs","parameters.threshs","program","seed","temperature","thresh","Cape/test/AUC","Cape/test/ECE","Cape/test/KL","Cape/test/brierScore","Cape/test_metric/AUC 0.02","Cape/test_metric/AUC 0.12","Cape/test_metric/AUC 0.25","Cape/test_metric/AUC 0.50","Cape/test_metric/AUC 0.75","Cape/test_metric/AUC 1.00","Cape/test_metric/ECE 0.02","Cape/test_metric/ECE 0.12","Cape/test_metric/ECE 0.25","Cape/test_metric/ECE 0.50","Cape/test_metric/ECE 0.75","Cape/test_metric/ECE 1.00","Cape/test_metric/KL 0.02","Cape/test_metric/KL 0.12","Cape/test_metric/KL 0.25","Cape/test_metric/KL 0.50","Cape/test_metric/KL 0.75","Cape/test_metric/KL 1.00","Cape/test_metric/brierScore 0.02","Cape/test_metric/brierScore 0.12","Cape/test_metric/brierScore 0.25","Cape/test_metric/brierScore 0.50","Cape/test_metric/brierScore 0.75","Cape/test_metric/brierScore 1.00","Cape/train/BCE","Cape/train/CAPE","Cape/train/loss","Cape/val/AUC","Cape/val/ECE","Cape/val/KL","Cape/val/brierScore","Cape/val/loss","Cape/val_metric/AUC 0.02","Cape/val_metric/AUC 0.12","Cape/val_metric/AUC 0.25","Cape/val_metric/AUC 0.50","Cape/val_metric/AUC 0.75","Cape/val_metric/AUC 1.00","Cape/val_metric/ECE 0.02","Cape/val_metric/ECE 0.12","Cape/val_metric/ECE 0.25","Cape/val_metric/ECE 0.50","Cape/val_metric/ECE 0.75","Cape/val_metric/ECE 1.00","Cape/val_metric/KL 0.02","Cape/val_metric/KL 0.12","Cape/val_metric/KL 0.25","Cape/val_metric/KL 0.50","Cape/val_metric/KL 0.75","Cape/val_metric/KL 1.00","Cape/val_metric/brierScore 0.02","Cape/val_metric/brierScore 0.12","Cape/val_metric/brierScore 0.25","Cape/val_metric/brierScore 0.50","Cape/val_metric/brierScore 0.75","Cape/val_metric/brierScore 1.00","epoch","test/AUC","test/ECE","test/KL","test/brierScore","test_metric/AUC 0.02","test_metric/AUC 0.12","test_metric/AUC 0.25","test_metric/AUC 0.50","test_metric/AUC 0.75","test_metric/AUC 1.00","test_metric/ECE 0.02","test_metric/ECE 0.12","test_metric/ECE 0.25","test_metric/ECE 0.50","test_metric/ECE 0.75","test_metric/ECE 1.00","test_metric/KL 0.02","test_metric/KL 0.12","test_metric/KL 0.25","test_metric/KL 0.50","test_metric/KL 0.75","test_metric/KL 1.00","test_metric/brierScore 0.02","test_metric/brierScore 0.12","test_metric/brierScore 0.25","test_metric/brierScore 0.50","test_metric/brierScore 0.75","test_metric/brierScore 1.00","train/BCE","train/CAPE","train/loss","trainer/global_step","val/AUC","val/ECE","val/KL","val/brierScore","val/loss","val_metric/AUC 0.02","val_metric/AUC 0.12","val_metric/AUC 0.25","val_metric/AUC 0.50","val_metric/AUC 0.75","val_metric/AUC 1.00","val_metric/ECE 0.02","val_metric/ECE 0.12","val_metric/ECE 0.25","val_metric/ECE 0.50","val_metric/ECE 0.75","val_metric/ECE 1.00","val_metric/KL 0.02","val_metric/KL 0.12","val_metric/KL 0.25","val_metric/KL 0.50","val_metric/KL 0.75","val_metric/KL 1.00","val_metric/brierScore 0.02","val_metric/brierScore 0.12","val_metric/brierScore 0.25","val_metric/brierScore 0.50","val_metric/brierScore 0.75","val_metric/brierScore 1.00"
"neat-sweep-7","finished","-","","","2024-06-10T22:36:10.000Z","1012","tq13y85k","32","RYDL","3000","20","10","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","1","1","unet","","","","","","","","","","42","1","0.5","0.8966084782174256","0.0013746375846472169","1.0844523906707764","0.02612099051475525","","","","0.8966084782174256","","","","","","0.0013746375846472169","","","","","","1.0844523906707764","","","","","","0.02612099051475525","","","0.10259778052568436","0.10281655937433244","0.1027071699500084","0.8876475193021746","0.00991402637674322","1.62150239944458","0.04189658537507057","0.15893268585205078","","","","0.8876475193021746","","","","","","0.00991402637674322","","","","","","1.62150239944458","","","","","","0.04189658537507057","","","10","0.8872772421579143","0.006802015586224111","1.01530921459198","0.02668727934360504","","","","0.8872772421579143","","","","","","0.006802015586224111","","","","","","1.01530921459198","","","","","","0.02668727934360504","","","0.08360522240400314","0","0.04180261120200157","730","0.8851465072474735","0.010869904275988511","1.5666474103927612","0.042616795748472214","0.16460131108760834","","","","0.8851465072474735","","","","","","0.010869904275988511","","","","","","1.5666474103927612","","","","","","0.042616795748472214","",""
"curious-sweep-6","finished","-","","","2024-06-10T22:20:15.000Z","949","tq13y85k","32","RYDL","3000","20","10","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","1","1","unet","","","","","","","","","","42","1","0.25","0.8578181014818324","0.0031996680938245216","2.5453414916992188","0.0608079694211483","","","0.8578181014818324","","","","","","0.0031996680938245216","","","","","","2.5453414916992188","","","","","","0.0608079694211483","","","","0.17983931303024292","0.18011033535003662","0.17997482419013977","0.8685885790300913","0.027595160364648375","3.0430285930633545","0.08015013486146927","0.29004308581352234","","","0.8685885790300913","","","","","","0.027595160364648375","","","","","","3.0430285930633545","","","","","","0.08015013486146927","","","","10","0.8581385805977598","0.0065779059202920685","2.692054748535156","0.06087448075413704","","","0.8581385805977598","","","","","","0.0065779059202920685","","","","","","2.692054748535156","","","","","","0.06087448075413704","","","","0.1410774141550064","0","0.0705387070775032","730","0.8751996593417213","0.03751420418904916","2.8743436336517334","0.08033023029565811","0.31743571162223816","","","0.8751996593417213","","","","","","0.03751420418904916","","","","","","2.8743436336517334","","","","","","0.08033023029565811","","",""
"effortless-sweep-5","finished","-","","","2024-06-10T22:04:42.000Z","928","tq13y85k","32","RYDL","3000","20","10","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","1","1","unet","","","","","","","","","","42","1","0.02","0.8883411576055271","0.011608383802836256","5.251545429229736","0.12236408144235612","0.8883411576055271","","","","","","0.011608383802836256","","","","","","5.251545429229736","","","","","","0.12236408144235612","","","","","","0.3536587953567505","0.3537728488445282","0.35371583700180054","0.8903825843226107","0.024263770115378305","5.116274356842041","0.12740077078342438","0.43992432951927185","0.8903825843226107","","","","","","0.024263770115378305","","","","","","5.116274356842041","","","","","","0.12740077078342438","","","","","","10","0.8780846341067277","0.007158170471494902","5.510411739349365","0.12818002700805664","0.8780846341067277","","","","","","0.007158170471494902","","","","","","5.510411739349365","","","","","","0.12818002700805664","","","","","","0.3373360335826874","0","0.1686680167913437","730","0.8904427706789684","0.04298831436288","4.881033897399902","0.128999263048172","0.4659321904182434","0.8904427706789684","","","","","","0.04298831436288","","","","","","4.881033897399902","","","","","","0.128999263048172","","","","",""
"mild-sweep-4","finished","-","","","2024-06-10T21:49:29.000Z","905","tq13y85k","32","RYDL","3000","20","10","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","0","1","unet","","","","","","","","","","42","1","1","0.9075988769311638","0.00021538912528691","0.20319727063179016","0.0050161127001047134","","","","","","0.9075988769311638","","","","","","0.00021538912528691","","","","","","0.20319727063179016","","","","","","0.0050161127001047134","0.016763707622885704","0.017176415771245956","0.016970060765743256","0.8877637870575634","0.002226426947320971","0.23053714632987976","0.006219979375600815","0.03287665545940399","","","","","","0.8877637870575634","","","","","","0.002226426947320971","","","","","","0.23053714632987976","","","","","","0.006219979375600815","10","0.9103179418533788","0.0007080487719729271","0.2185850739479065","0.005013196729123592","","","","","","0.9103179418533788","","","","","","0.0007080487719729271","","","","","","0.2185850739479065","","","","","","0.005013196729123592","0.026917606592178345","0","0.013458803296089172","730","0.8973300502290139","0.0016873577432911415","0.273750901222229","0.006289429496973753","0.030863776803016663","","","","","","0.8973300502290139","","","","","","0.0016873577432911415","","","","","","0.273750901222229","","","","","","0.006289429496973753"
"gentle-sweep-3","finished","-","","","2024-06-10T21:34:11.000Z","910","tq13y85k","32","RYDL","3000","20","10","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","0","1","unet","","","","","","","","","","42","1","0.5","0.8827537868322068","0.0013305641973517764","1.269965410232544","0.02975846827030182","","","","0.8827537868322068","","","","","","0.0013305641973517764","","","","","","1.269965410232544","","","","","","0.02975846827030182","","","0.08745225518941879","0.08829934895038605","0.08787579834461212","0.885586568525153","0.014691648844368252","1.5029133558273315","0.04136842489242554","0.17374186217784882","","","","0.885586568525153","","","","","","0.014691648844368252","","","","","","1.5029133558273315","","","","","","0.04136842489242554","","","10","0.8797687337004675","0.0032182027795927036","1.2354775667190552","0.02988254278898239","","","","0.8797687337004675","","","","","","0.0032182027795927036","","","","","","1.2354775667190552","","","","","","0.02988254278898239","","","0.09450029581785202","0","0.04725014790892601","730","0.8884139891613017","0.012075396775487263","1.534102439880371","0.04113385081291199","0.18500733375549316","","","","0.8884139891613017","","","","","","0.012075396775487263","","","","","","1.534102439880371","","","","","","0.04113385081291199","",""
"lyric-sweep-2","finished","-","","","2024-06-10T21:18:17.000Z","948","tq13y85k","32","RYDL","3000","20","10","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","0","1","unet","","","","","","","","","","42","1","0.25","0.8745269469570522","0.002481850210112169","2.576728343963623","0.060463592410087585","","","0.8745269469570522","","","","","","0.002481850210112169","","","","","","2.576728343963623","","","","","","0.060463592410087585","","","","0.17408418655395508","0.17448152601718905","0.17428284883499146","0.8802285300474916","0.026553678294519212","2.901425361633301","0.07770383358001709","0.28790026903152466","","","0.8802285300474916","","","","","","0.026553678294519212","","","","","","2.901425361633301","","","","","","0.07770383358001709","","","","10","0.8723598887354745","0.004688071305554981","2.670738697052002","0.06102323904633522","","","0.8723598887354745","","","","","","0.004688071305554981","","","","","","2.670738697052002","","","","","","0.06102323904633522","","","","0.16362978518009186","0","0.08181489259004593","730","0.8798326789527459","0.02370013725768719","2.933765411376953","0.07634157687425613","0.2994775176048279","","","0.8798326789527459","","","","","","0.02370013725768719","","","","","","2.933765411376953","","","","","","0.07634157687425613","","",""
"northern-sweep-1","finished","-","","","2024-06-10T20:57:18.000Z","1256","tq13y85k","32","RYDL","3000","20","10","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","0","1","unet","","","","","","","","","","42","1","0.02","0.8884827769557531","0.005782126579636927","5.216407775878906","0.12111324816942216","0.8884827769557531","","","","","","0.005782126579636927","","","","","","5.216407775878906","","","","","","0.12111324816942216","","","","","","0.3680424094200134","0.3681461215019226","0.368094265460968","0.8885916228015713","0.03958627412485584","5.106246471405029","0.13064780831336975","0.42037469148635864","0.8885916228015713","","","","","","0.03958627412485584","","","","","","5.106246471405029","","","","","","0.13064780831336975","","","","","","10","0.8742228319494867","0.02383815710891337","5.247016906738281","0.1291985064744949","0.8742228319494867","","","","","","0.02383815710891337","","","","","","5.247016906738281","","","","","","0.1291985064744949","","","","","","0.3221479654312134","0","0.1610739827156067","730","0.900192763399886","0.04259315380442803","4.761749744415283","0.12345350533723833","0.5076479911804199","0.900192763399886","","","","","","0.04259315380442803","","","","","","4.761749744415283","","","","","","0.12345350533723833","","","","",""
"spring-dust-393","finished","-","","","2024-06-10T19:01:27.000Z","693","","32","RYDL","1500","30","15","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","0","1","unet","","","","","","","","","","42","1","1","0.9057993551103704","0.00042543919248214","0.17347656190395355","0.004416426178067923","","","","","","0.9057993551103704","","","","","","0.00042543919248214","","","","","","0.17347656190395355","","","","","","0.004416426178067923","0.01640605926513672","0.016602247953414917","0.016504153609275818","0.900544526003855","0.0017403293264316","0.28655967116355896","0.00626279367133975","0.030727321282029152","","","","","","0.900544526003855","","","","","","0.0017403293264316","","","","","","0.28655967116355896","","","","","","0.00626279367133975","15","0.8984463706604768","0.0010057613156686362","0.17020578682422638","0.004437524825334549","","","","","","0.8984463706604768","","","","","","0.0010057613156686362","","","","","","0.17020578682422638","","","","","","0.004437524825334549","0.02548993192613125","0","0.012744965963065624","555","0.9023171818261048","0.0016283737028213636","0.25953683257102966","0.006248992867767811","0.030701879411935806","","","","","","0.9023171818261048","","","","","","0.0016283737028213636","","","","","","0.25953683257102966","","","","","","0.006248992867767811"
"leafy-sweep-36","finished","-","","","2024-06-10T17:48:35.000Z","773","pscsx2em","32","RYDL","1500","30","15","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","8","1","unet","","","","","","","","","","42","1","1","0.9071127212396892","0.00021983657001653723","0.15229138731956482","0.0037891617976129055","","","","","","0.9071127212396892","","","","","","0.00021983657001653723","","","","","","0.15229138731956482","","","","","","0.0037891617976129055","0.02222156524658203","0.022505825385451317","0.02236369624733925","0.898702315190307","0.001623228743866902","0.24561919271945953","0.006054822355508804","0.030099989846348763","","","","","","0.898702315190307","","","","","","0.001623228743866902","","","","","","0.24561919271945953","","","","","","0.006054822355508804","15","0.9084033235172296","0.0005214087198989412","0.15780094265937805","0.0037887985818088055","","","","","","0.9084033235172296","","","","","","0.0005214087198989412","","","","","","0.15780094265937805","","","","","","0.0037887985818088055","0.021151524037122726","0","0.010575762018561363","555","0.8933372046917543","0.0017693557140921086","0.2747066020965576","0.006002441514283419","0.030020471662282944","","","","","","0.8933372046917543","","","","","","0.0017693557140921086","","","","","","0.2747066020965576","","","","","","0.006002441514283419"
"expert-sweep-35","finished","-","","","2024-06-10T17:47:49.000Z","791","pscsx2em","32","RYDL","1500","30","15","1","bin","1","/home/students/s265780/data/RYDL","0.0001","","","","100","8","1","unet","","","","","","","","","","42","1","0.75","0.9024919724566498","0.0015258963569785215","0.3578700125217438","0.009268969297409058","","","","","0.9024919724566498","","","","","","0.0015258963569785215","","","","","","0.3578700125217438","","","","","","0.009268969297409058","","0.03722769394516945","0.037552159279584885","0.03738992661237717","0.8769009978208149","0.010420372451735736","0.6502370834350586","0.018468013033270836","0.08860808610916138","","","","","0.8769009978208149","","","","","","0.010420372451735736","","","","","","0.6502370834350586","","","","","","0.018468013033270836","","15","0.903623244681518","0.0012825963755893738","0.3806014955043793","0.009304182603955269","","","","","0.903623244681518","","","","","","0.0012825963755893738","","","","","","0.3806014955043793","","","","","","0.009304182603955269","","0.04215507209300995","0","0.021077536046504974","555","0.8887664768707718","0.002841219268288434","0.656615138053894","0.016419516876339912","0.06842571496963501","","","","","0.8887664768707718","","","","","","0.002841219268288434","","","","","","0.656615138053894","","","","","","0.016419516876339912",""
