"epoch","BCE 100 - _step","BCE 100 - _step__MIN","BCE 100 - _step__MAX","val/KL","BCE 100 - val/KL__MIN","BCE 100 - val/KL__MAX"
"0","10","10","10","10.525197982788086","10.525197982788086","10.525197982788086"
"1","21","21","21","10.413869857788086","10.413869857788086","10.413869857788086"
"2","32","32","32","7.844398498535156","7.844398498535156","7.844398498535156"
"3","43","43","43","5.442233085632324","5.442233085632324","5.442233085632324"
"4","54","54","54","5.855465888977051","5.855465888977051","5.855465888977051"
"5","65","65","65","5.594509601593018","5.594509601593018","5.594509601593018"
"6","76","76","76","4.719024181365967","4.719024181365967","4.719024181365967"
"7","87","87","87","4.332552909851074","4.332552909851074","4.332552909851074"
"8","98","98","98","4.197362899780273","4.197362899780273","4.197362899780273"
"9","109","109","109","3.606671094894409","3.606671094894409","3.606671094894409"
"10","120","120","120","3.8293042182922363","3.8293042182922363","3.8293042182922363"
"11","131","131","131","3.438077211380005","3.438077211380005","3.438077211380005"
"12","142","142","142","3.42278790473938","3.42278790473938","3.42278790473938"
"13","153","153","153","3.3940019607543945","3.3940019607543945","3.3940019607543945"
"14","164","164","164","3.753566265106201","3.753566265106201","3.753566265106201"
"15","175","175","175","3.726998805999756","3.726998805999756","3.726998805999756"
"16","186","186","186","3.122506618499756","3.122506618499756","3.122506618499756"
"17","197","197","197","2.6832404136657715","2.6832404136657715","2.6832404136657715"
"18","208","208","208","2.8887064456939697","2.8887064456939697","2.8887064456939697"
"19","219","219","219","2.9076552391052246","2.9076552391052246","2.9076552391052246"
"20","230","230","230","2.218625068664551","2.218625068664551","2.218625068664551"
"21","241","241","241","3.6882708072662354","3.6882708072662354","3.6882708072662354"
"22","252","252","252","2.6551594734191895","2.6551594734191895","2.6551594734191895"
"23","263","263","263","2.353196144104004","2.353196144104004","2.353196144104004"
"24","274","274","274","1.9399738311767578","1.9399738311767578","1.9399738311767578"
"25","285","285","285","2.070305109024048","2.070305109024048","2.070305109024048"
"26","296","296","296","1.7693380117416382","1.7693380117416382","1.7693380117416382"
"27","307","307","307","2.245138645172119","2.245138645172119","2.245138645172119"
"28","318","318","318","2.379164695739746","2.379164695739746","2.379164695739746"
